word_a	word_b	rhyme
rød	død	1
streder	steder	1
hvert	snert	1
stekket	knekket	1
stjerner	lanterner	1
skjer	ler	1
overmakt	tilbakelagt	1
knopp	topp	1
minne	kvinne	1
tegne	Reine	1
makt	underlagt	1
ord	bror	1
admiral-fregatt	Kattegat	1
stemme	glemme	1
ravn	savn	1
par	bar	1
samme	ramme	1
lyster	kryster	1
gemakker	jakker	1
trav	hav	1
øst	røst	1
skjød	lød	1
sønn	bønn	1
forblive	give	1
slik	skrik	1
feil	seil	1
skritt	hvitt	1
varme	harme	1
få	stå	1
sang	klang	1
lenke	skjenke	1
stund	bunn	1
hat	mat	1
hemlighet	evighet	1
drømmer	tømmer	1
snor	stor	1
kamelen	sjelen	1
mus	krus	1
gater	prater	1
fjanter	spanter	1
strøk	gjøk	1
skrevet	drevet	1
för	ombord	1
ber	ser	1
gatelarm	varm	1
kunde	vunde	1
bunn	tanke-grunn	1
så	lå	1
ømme	dømme	1
betagen	dagen	1
høsten	menskerøsten	1
strand	fiskevann	1
rokke	forlokke	1
feste	beste	1
jeg	Nei	1
henger	gatedrenger	1
Kal	kval	1
Dyre	myre	1
dans	stans	1
huset	kruset	1
mitt	hvitt	1
gjeld	fjell	1
nervøs	charmeuse	1
leskedrikker	sikker	1
kvass	plass	1
forferdet	sverdet	1
ild	narrespill	1
spreder	heder	1
sekk	strekk	1
bakkehellet	fjellet	1
grunne	lunde	1
dag	hyttetak	1
pretorer	snorer	1
panser	danser	1
øre	snøre	1
fanfare	skare	1
lås	gås	1
betvinger	finger	1
lurer	murer	1
senket	krenket	1
kant	grant	1
fot	helsebot	1
med	kildested	1
's	stans	1
glede	rede	1
luke	sommeruke	1
sinnene	vindene	1
forbi	litani	1
stavnen	folkefavnen	1
ramme	lamme	1
kisten	kvisten	1
tårer	kårer	1
stund	hjertegrunn	1
sender	hender	1
blir	kongespir	1
fred	skred	1
hall	stall	1
vånder	ånder	1
stekket	paddekvekket	1
klar	skar	1
vanne	panne	1
sjelevrimlen	himlen	1
stund	grunn	1
ve	se	1
lo	tro	1
svant	bandt	1
ringe	jettebringe	1
vekke	sprekke	1
hu	nå	1
hegn	pileregn	1
betvinge	bringe	1
sangen	oppgangen	1
lagt	gådemakt	1
forsvinner	minner	1
blå	gå	1
hjemme	fremme	1
klippemuren	luren	1
stimulanser	skanser	1
skjær	her	1
hvilte	smilte	1
omhyllelse	fortryllelse	1
