	type	scheme	stanza
5	line	AABCCB	" alene mot tuseners raseri 
 de onde omringer mitt leie 
 og klokker med gullplateklang 
 alt er nå blitt fryd og lyst 
 vekker landets storhet noen gjenklang i hans bryst 
 tro som en sang "
3	orig	ABAB	"at de er spinkle så man skjelner hvert et ben
det er det ingen av dem selv som merker
for nye safter suser i hver gren
og selv i by gjør våren underverker"
4	orig	AABCBDDC	"armen som hun nettopp hevet
av forbannelser henrevet
synker ti langs stadens bryn
gjennom natten tett og sort
skjærer skarpt et veldig lyn
og et heftig tordenskrall
braker gjennom slottets hall
ryster i dets sterke port"
0	orig	ABCB	"til oppbrudd blir allting gjort istand
mens skumringen faller på
skjønt veien er stengt av det brusende hav
så skal de bent fremad gå"
15	base	-	" da farer han sammen i dagningens skjær 
 han øyner sitt mål damaskus er nær 
 
 "
11	stanza	ABBA	" det mørkner det legems klare hjerne 
 den sløyer og slynger seg om stolt og om mast 
 langs berget de modig seg for korsets kyst 
 og trosse trollmenn ytterst evne "
2	orig	ABAB	"og jeg kan ennu føle kuldegyset
som gikk i oss da vi ble stanset der
vi svor å sprenge oss en vei mot lyset
en plass i sol for alle dem som lever her"
12	stanza	ABBA	" med ett og sank med en aftenvind 
 i vår brudekrans 
 og tiden var falt mellom vin og glans 
 jeg led den sølvsardin "
13	stanza	ABBA	" for jeg lærte meg selv i denne iblant 
 er kommet er det dype sjelesår 
 om lys av sol i sol og vår 
 og tåker bærer og odins sanne forsvant "
1	orig	AABBCC	"og det just nå som alle toppe
i lysning viser varder oppe
og folke-skolens unge dag
har vakt det norske hjertelag
så mot og minner seg forynger
imens de hører tror og synger"
16	base	-	" der er vel intet å håpe 
 er det som nettopp røvet 
 kan hende en gud i hende er begynt 
 har du en reise i rommet 
 på det alt over land 
 og til evig tid 
 
 "
17	base	-	" beven gjennom lange år i tyve år 
 i skyggestøtter skred for veien fem da er jeg 
 igjen til de svarte gater 
 og til det fjerne 
 
 "
10	stanza	AABCCB	" barnet som hedenske embedsmenn 
 derfor fulgte med dens menn 
 det var i det brune blikk i hand 
 så jeg fra meg her og nå er det stiv 
 side kamerat sæd holder liv 
 fra jakob lenges ånd "
14	stanza	ABBA	" av en brottsjø som gikk bak 
 for solens skinn av splid 
 selv til naturens livets tid 
 vesen hjelpe så et modig kamp "
6	line	ABBA	" ved dvergers spill og gledesgny 
 om den klare høysommerdag 
 som om det er av en dag 
 tusende seil bær den rikdom og ry "
9	line	ABBA	" pusjkin romain rolland 
 og lyser over alle folkeslag 
 jeg våkner nå er han av en dag 
 han spente buen mang en gang "
19	base	-	" deg selv en kristus er kort 
 at moskva går igjennom høstgrå bryn 
 om hver som går til vi ser 
 et hav i fjell og fjord 
 når sprøyten står om vinde 
 
 "
18	base	-	" og hvisket så ei folkets klager klager 
 gjennom skuffelser og sorg 
 av dager til det morgen 
 ikke lykken der la meg være 
 ti elsker at det allting skal leves 
 
 "
7	line	ABBA	" det som er lettkjøpt her er lett å gjette 
 i tårne og takker er grunn til hans vrede 
 de hjerter her var skapt av sorg og glede 
 la fare la fare mitt hjerte "
8	line	ABBA	" slipp ennu en gang 
 og vet hva er hva forestår 
 menneskene går her og pløyer og sår 
 tro som en sang "
