word_a	word_b
amfi	deponi
sofistikert	uartikulert
alkymi	modneri
habil	anglofil
spekulert	motivert
analogi	eufori
tonsill	oventil
bakhjul	gursegul
kohort	innbetalingskort
barbari	fryseri
se	me
samspill	gjestespill
hill	vegvill
fugl	gul
panasjert	regulert
anglofil	servicebil
bigami	pyemi
pandemi	sløseri
billedskjønn	omsorgslønn
blågul	måsefugl
tekstil	drømmemil
branngul	mørkgul
forestill	hørespill
nøkkelkort	teatersport
isfugl	spellfugl
sjømil	frankofil
sjansespill	difteribasill
informert	fagorganisert
rutebil	fortellerstil
ugradert	uartikulert
hunnkjønn	eierlønn
pasjonsspill	tilbakespill
døgnvill	paskvill
nid	godteri
nullstill	gjestespill
desidert	oppmarsjert
grønn	etterlønn
inspirert	uregulert
av di	heresi
gi	hysteri
bil	ispil
tesil	hydrofil
reserbil	varebil
spri	garveri
sportsbil	minibil
snøbil	veteranbil
elevert	uinteressert
sølvpil	rokokkostil
fraskill	taskenspill
tilvekst	chiffertekst
tekstil	ambulansebil
elegi	pandemi
borttil	forestill
gavekort	undervannssport
rollespill	hasardspill
bildetekst	befolkningstilvekst
fraskill	varpespill
udefinert	desillusjonert
di	amnesi
regi	otologi
autarki	frieri
viril	funkisstil
kompani	selleri
dønn	billedskjønn
neglefil	avløpsventil
mi	mogneri
poesi	etologi
gullfugl	mørkegul
sakristi	salteri
bul	trompetfugl
kortspill	pasningsspill
geni	forvri
ul	drivhjul
gudesønn	sjukelønn
fyrtårn	kirketårn
autarki	urologi
pandemi	ysteri
tørn	fiskeørn
orrfugl	landingshjul
uorganisert	velorientert
knekort	seisport
hi	griseri
fobi	garveri
taktil	infantil
bil	pil
vassfugl	tvillinghjul
byggkorn	kristtorn
branngul	romjul
minespill	leprabasill
informert	udifferensiert
rapport	kapitaleksport
immobil	bibliofil
pyemi	veveri
misvekst	chiffertekst
vannhjul	praktærfugl
prosti	sodomi
kul	tropikfugl
kråkefugl	praktærfugl
mælt	underernært
stri	garanti
pil	privatbil
pil	sagastil
skill	trill
hullkort	fiskekort
