word_a	word_b	rhyme
Å	skrå	1
stillehavspassat	satt	1
stjerneblått	blott	1
med	ned	1
nattelosji	bli	1
spredt	ett	1
manne-fall	tempelhall	1
store	roret	1
tyribrann	Wergeland	1
gjenoppta	derifra	1
fare	mare	1
stor	hernord	1
fram	dyreham	1
nordlys-prakt	strakt	1
vin	sin	1
flor	kirkekor	1
ring	Ting	1
tynt	skillemynt	1
skinn	grind	1
forstår	foregiår	1
kvede	brede	1
let	lett	1
vinge	springe	1
liljebånd	ånd	1
sne	herned	1
bølgegrav	stav	1
godt	gått	1
kjed	spe	1
trykker	nykker	1
fril	hi	1
naglebor	stråleflor	1
tåkeluft	duft	1
hedningjord	bestemor	1
flak	vrak	1
herskerstol	Hol	1
morgen-røden	grøden	1
vold	avindsskjold	1
kingelvevet	bevet	1
teller	kvelder	1
fril	befri	1
aftenrøden	hungersnøden	1
få	også	1
borg	kongeborg	1
traff	blaff	1
Sand	tyribrann	1
da	hurra	1
kjød	forbrød	1
året	dåret	1
Teruel	trell	1
lell	bakkehell	1
solgangsild	till	1
drømmen	himmeldrømmen	1
sende	overende	1
ditinn	marsaftenvind	1
dravat	soldat	1
tid	rid	1
politikk	fabrikk	1
sunn	stund	1
flyr	knyr	1
vestenvind	marsaftenvind	1
flammer	prammer	1
lytter	hytter	1
hedningeby	ly	1
kinner	pinner	1
helstøvle-føre	snøre	1
profitt	mareritt	1
pinsefest	dernest	1
blomstermunne	sunde	1
randen	stranden	1
bevare	broderskare	1
grå	også	1
herlighet	ensomhet	1
hjernespinn	sinn	1
hvin	eventyr-sinn	1
motor	fuglekor	1
forgår	kår	1
grett	regnebrett	1
møye	møye.	1
være	Staats-affære	1
vil	fargespill	1
frydeskrik	fugleskrik	1
ti	sympati	1
være	besnære	1
lammer	kammer	1
ansiktsdrag	oktoberdag	1
sæl	fjell	1
kvikke	strikke	1
løvsalstrær	oppstandelsesskjær	1
skapermann	illgjerningsmann	1
ago	hunger-grå	1
alfesang	milelang	1
fotefar	oksepar	1
gådemakt	sjakt	1
sundt	glunt	1
inne	blinde	1
Hans	stråleglans	1
Staupersund	barne-munn	1
fortøye	bøyet	1
skinnet	vinde	1
seildugshammer	hammer	1
svære	hære	1
istå	blaå	1
stråleflor	kommando-ord	1
lokomotiv	pakkbodliv	1
frekk	skrekk	1
ordet	spore	1
kildevann	land	1
sjungekor	Tor	1
grett	husbondsvett	1
flat	mat	1
klippegrunn	tanke-grunn	1
vinter-sne	armé	1
skåren	morgen	1
kledt	sett	1
Evighøye	bøye	1
bacchanal	kanal	1
skader	rader	1
gategutt	slutt	1
geled	fortred	1
fødeegn	rein	1
rygge	hygge	1
apespill	sommermild	1
sæd	kjed	1
blunde	sunne	1
myr	skyr	1
går	igår	1
stillehavspassat	stat	1
svinge	ringe	1
baste	faste	1
prenter	renter	1
menneskehjem	strålebrem	1
ler	ber	1
løs	røs	1
avsted	kre	1
henne	ende	1
för	naglebor	1
prester	fester	1
vrimlen	storbyvrimlen	1
admiral-fregatt	fregatt	1
farvel	Israel	1
finn	trinn	1
bered	vadested	1
Nudetre	beskjed	1
gled	spe	1
herskermakt	belagt	1
sendt	spent	1
stjernegry	tordensky	1
søndagsmorgen	sorgen	1
vind	pålandsvind	1
ratt	fatt	1
tilkjenne	tenne	1
sner	skjer	1
stakler	mirakler	1
fnokk	dvergeflokk	1
og	sprog	1
stille	milde	1
skritt	sitt	1
seilet	feile	1
strålefjed	kjed	1
tonehav	nav	1
hjertesår	skyteskår	1
hedersmann	brann	1
søndenvind	syrin	1
fang	blomstervang	1
fullende	derhenne	1
vare	svare	1
Ambarvalia	bedra	1
strender	venner	1
nord	mord	1
blomstergrener	grener	1
rang	alfesang	1
hinder	vinner	1
lukt	bukt	1
danser	panser	1
arm	barm	1
din	kinn	1
dette	slette	1
vek	lek	1
solskinsdag	søndenvindsdrag	1
glør	dør	1
får	igår	1
klokkeklang	gang	1
slang	jubelsang	1
løyhet	høyhet	1
forbrent	brent	1
instrument	skrent	1
silhouett	minarett	1
Bliv	bliv	1
silde	bryllupsgilde	1
kold	hedenold	1
sammen	bjørkestammen	1
gevær	skjær	1
merkestang	trang	1
kongehaller	raller	1
minister	frihetsrigorister	1
tiltross	tross	1
ofte	hofte	1
velbehag	oktoberdag	1
skapermann	fiskevann	1
Gondvanaland	fiskermann	1
drømte	fordømte	1
gjemme	stemme	1
la	Ambarvalia	1
vrå	aldersgrå	1
hedningjord	bor	1
strandblomststjerner	lanterner	1
lell	selv	1
ødeland	eiermann	1
bestemt	klokkeklemt	1
sosialist	harsellist	1
veld	sprell	1
fargesans	glans	1
jager	oldingplager	1
gåte	våte	1
alfesang	strengeklang	1
kassevis	bris	1
Israel	kildevell	1
bestå	så	1
julekveld	veld	1
brak	kvak	1
trær	der	1
ørkensand	redningsmann	1
eiermann	vinterland	1
knusleri	si	1
finnes	bindes	1
lenket	benket	1
takt	forakt	1
arbeidsbi	symfoni	1
embedsskrud	seiersbud	1
blomsterbed	bed	1
fuglekiv	kniv	1
sovekupé	idé	1
båret	låret	1
kall	manne-fall	1
julekveld	kildevell	1
forslår	spår	1
ørkenild	fil	1
dal	pastoral	1
menneskedyr	dyr	1
istykker	trykker	1
bringer	tvinger	1
knyr	menneskedyr	1
varmen-	barmen	1
profeten	tidstrompeten	1
lyseblå	strå	1
brent	fryktbespent	1
spy	ny	1
lavet	havet	1
kjell	sommerkveld	1
fliker	slike	1
slå	blaå	1
ljå	stå	1
meldt	telt	1
åpenbar	klar	1
bakkehell	småmakrell	1
slang	kjøkkengang	1
midt	mitt	1
høvdingånd	ånd	1
bølgekammer	kammer	1
fremmedland	tann	1
skje	sved	1
procent	brent	1
høysommerdag	åndedrag	1
våbengny	vikingery	1
offerdyr	dyr	1
spar	fotefar	1
redningsverk	verk	1
argumenter	pergamenter	1
tvende	blende	1
Storedragen	dragen	1
kilder	skiller	1
Krist	tilsist	1
rik	tryllesvik	1
korstog-ren	len	1
bark	hark	1
matt	kratt	1
dregg	klegg	1
rase	grimase	1
Tor	blomsterflor	1
ingensinne	slavinne	1
øye	øyet	1
gudeslott	skafott	1
drønn	brønn	1
drevet	sønderrevet	1
rettferdighet	ubønnhørlighet	1
dertil	morraspill	1
strandblomststjerner	tærner	1
måneskinn	skinn	1
pral	pastoral	1
verdensstat	godnatt	1
sølvsardin	kinn	1
tål	stål	1
himlen	storbyvrimlen	1
saltarell	lell	1
sinne	tvinne	1
idé	sed	1
stille	ville	1
naglebor	tempelkor	1
rabatter	forfatter	1
moment	Sorrent	1
ætt	minarett	1
Ho	mo	1
sten	suveréen	1
blinde	hinne	1
springer	finger	1
vill	spill	1
derinn	sølvsardin	1
bittesmå	Å	1
klinger	finger	1
sti	ti	1
bred	fred	1
arbeidsfred	kre	1
bergeli	parti	1
bann	sand	1
egnet	beregnet	1
tider	svider	1
gal	smal	1
sken	hven	1
slavestand	Gondwanaland	1
folkelarm	larm	1
venninne	Slinde	1
falt	talt	1
svermeri	raseri	1
bakkehell	selv	1
renkespill	til	1
strålebro	gro	1
drømmespinn	mandolin	1
veld	Desemberkveld	1
hopp	granetopp	1
skrupler	kupler	1
fortøye	pløye	1
stred	bibelsted	1
smil	ørkenild	1
folkeskarer	åpenbarer	1
slåss	tross	1
