word_a	word_b	rhyme
breder	ynde	0
ving	tur	0
Menneskesønn	gang	0
fred	rykter	0
ren	høye	0
kår	blå	0
trett	brannen	0
jord	tårer	0
profet	kvinne	0
ve	finner	0
tilkness	kjolen	0
røk	dem	0
land	stavn	0
bønnen	sveven	0
vugge	tann	0
forløst	muren	0
snare	bud	0
kipper	disipliner	0
sone	forlatt	0
vinge	love	0
gaver	komme	0
kai	kabel	0
fester	metter	0
besatt	villhet	0
havet	fast	0
navn	lide	0
fatte	stjerner	0
larmen	skam	0
kvalme	stedse	0
legioner	gru	0
under	ikke	0
drakt	gry	0
land	døden	0
sønner	storm	0
skinn	lede	0
skrevet	har	0
forsamling	høyhet	0
fjerner	strøm	0
eie	tinning	0
vest	struper	0
sommernetter	vest	0
sorg	hen	0
fatte	dikt	0
slukter	tinder	0
mandolin	banken	0
ferde	skatt	0
skatter	favn	0
elvebunn	den	0
klager	tukt	0
enger	menneskedyr	0
press	rand	0
slutt	ord	0
flokk	komme	0
stod	pløyer	0
gjennombevet	vi	0
medaljer	Kuba	0
sans	bedrøvet	0
betvinger	gåde	0
minner	lider	0
skinn	menneskestemmer	0
striper	lenger	0
stopp	fylles	0
hansker	buksefall	0
klar	topp	0
slite	bakken	0
ord	ny	0
forstå	selger	0
driver	skarv	0
blond	fri	0
bue	hans	0
stor	sange	0
frender	liv	0
kårer	dag	0
glans	synger	0
var	ahner	0
deg	du	0
tvinger	handling	0
sol	stunder	0
fisk	møtes	0
krampe	være	0
gav	det	0
glede	broderhånd	0
slikker	lande	0
gang	hvileplett	0
fot	dekker	0
stolt	vinning	0
strikke	morgenstund	0
lett	gemakker	0
iver	spilt	0
vet	sjel	0
savner	står	0
dør	silde	0
planter	bever	0
forårssang	fugl	0
en	annet	0
menneskehjem	kjenning	0
kvinner	klynget	0
branner	manne	0
nord	Sarpen	0
bygde	kjempe-sang	0
kom	ende	0
kongespir	ny	0
matt	toner	0
navn	tryllesvik	0
kavet	bys	0
ynde	hell	0
stene	leber	0
gjest	fornemme	0
gåde	forme	0
først	nager	0
forvisst	forvaret	0
bøde	ferd	0
røst	rår	0
strandblomststjerner	søm	0
bo	gjest	0
sten	favn	0
sterk	striden	0
finner	stor	0
tilhest	tenker	0
tidde	larm	0
tvang	lider	0
vannet	blund	0
i	gull	0
syn	bringer	0
riste	fare	0
hugg	bedrøvet	0
tide	stort	0
lyst	vilt	0
krus	spannet	0
hammen	ja	0
trett	stranden	0
fred	aftenlande	0
år	pen	0
støy	hytter	0
berømte	Bull	0
stygt	Nei	0
veld	kommer	0
tokt	bløtt	0
luer	deri	0
lyn	sinn	0
dagen	grus	0
går	farer	0
tilende	dommer	0
død	skare	0
glødet	strid	0
fred	luer	0
skrifter	lytter	0
VESTERÅLEN	jord	0
tror	komme	0
seterbua	tomme	0
inn	barm	0
visjoner	spøker	0
gry	smiler	0
arv	mann	0
oksepar	brenne	0
meg	ord	0
nomader	beduinerhorder	0
stål	dog	0
før	trær	0
stund	gløden	0
grenser	fekter	0
kyst	verdensstat	0
raker	snor	0
form	der	0
øye	skje	0
gjestet	gjaldt	0
preges	enhver	0
flamme	været	0
blunde	klinge	0
soldater	fare	0
svart	stamp	0
feste	fare	0
drøm	bort	0
eier	smelter	0
lue	hjem	0
kjære	ny	0
ro	vende	0
slavinner	viser	0
kjenning	fugl	0
mann	tenker	0
drøm	står	0
hyener	himmelhøye	0
triller	lund	0
blad	tind	0
nypegren	sol	0
blind	grå	0
frosten	bølgedans	0
bøyet	stavn	0
akt	klare	0
hen	dagen	0
guddomsmakt	munn	0
tale	mann	0
natt	hjernen	0
ofte	stutt	0
mann	sprang	0
suse	bort	0
vind	mat	0
skåler	annen	0
tvette	egn	0
dørk	med	0
strenger	hjerte	0
springe	love	0
kinner	vill	0
smil	fløyne	0
støvet	toner	0
ud	inn	0
du	fall	0
blest	trygg	0
gaver	beiler	0
rand	synger	0
vande	forårshimmel	0
tind	toneveld	0
vide	rand	0
glemmer	folkestevnet	0
tomme	vannet	0
sist	stjerne	0
narrestaven	folk	0
eser	skal	0
stavn	tortur	0
flukt	sæd	0
lenge	går	0
hus	herlighet	0
scene	omme	0
bord	bort	0
peser	mil	0
opp	flu	0
derinne	være	0
marmorrene	elde	0
ild	huse	0
to	bøyet	0
strandblomststjerner	drøm	0
suser	gull	0
skilles	dronning	0
dager	med	0
på	blott	0
sanden	eneste	0
gled	lagt	0
klang	sal	0
helsebot	strand	0
bue	brem	0
larm	klirrer	0
oppstandelsesskjær	havet	0
brønnen	lo	0
demper	granelunden	0
hus	vill	0
fjells	vann	0
trygt	byde	0
ennu	hurra	0
flokk	beiler	0
så	rygg	0
far	hjemmet	0
hermet	dugg	0
aber	vakker	0
skjønn	veie	0
skjer	storm	0
hjerte	normer	0
nær	flakker	0
broen	år	0
bøye	havet	0
rad	velde	0
mørkekott	fuglesang	0
idag	milde	0
fanfare	attentater	0
gru	drakt	0
kleber	lend	0
falt	eldes	0
vind	herhen	0
munn	narrespill	0
ungt	strøm	0
slemt	pest	0
svermet	dugg	0
granitt	kvaler	0
mor	båret	0
stjerne	menn	0
falt	felles	0
dem	fjell	0
mål	glans	0
natten	hånd	0
glans	løvet	0
armen	han	0
egn	lun	0
lang	lenger	0
klynge	tiggerskare	0
rikt	raft	0
vandring	mile	0
steiler	plass	0
